gene_symbol,reference_gene_id
ab,FBgn0264442
abd-A,FBgn0000014
Abd-B,FBgn0000015
ac,FBgn0000022
achi,FBgn0033749
acj6,FBgn0000028
Ada2a,FBgn0263738
Ada2b,FBgn0037555
ADD1,FBgn0026573
Aef1,FBgn0005694
al,FBgn0000061
amos,FBgn0003270
Antp,FBgn0260642
aop,FBgn0000097
ap,FBgn0267978
ara,FBgn0015904
Asciz,FBgn0035407
ase,FBgn0000137
Atac1,FBgn0031876
ATbp,FBgn0039946
Atf-2,FBgn0265193
Atf3,FBgn0028550
Atf6,FBgn0033010
ato,FBgn0010433
awd,FBgn0000150
Awh,FBgn0013751
Axud1,FBgn0261647
az2,FBgn0025185
B-H1,FBgn0011758
B-H2,FBgn0004854
bab1,FBgn0004870
bab2,FBgn0025525
bap,FBgn0004862
Bap111,FBgn0030093
Bap170,FBgn0042085
bbx,FBgn0024251
bcd,FBgn0000166
Bdp1,FBgn0032512
BEAF-32,FBgn0015602
Bgb,FBgn0013753
bi,FBgn0000179
bigmax,FBgn0039509
bin,FBgn0045759
bip1,FBgn0026263
Blimp-1,FBgn0035625
bowl,FBgn0004893
br,FBgn0283451
Bro,FBgn0013755
bs,FBgn0004101
bsh,FBgn0000529
btd,FBgn0000233
btn,FBgn0014949
bun,FBgn0259176
byn,FBgn0011723
C15,FBgn0004863
cad,FBgn0000251
Camta,FBgn0287478
cato,FBgn0024249
caup,FBgn0015919
cbt,FBgn0043364
Cdc5,FBgn0265574
Cf2,FBgn0000286
cg,FBgn0000289
CG10147,FBgn0035702
CG1024,FBgn0027514
CG10274,FBgn0035690
CG10321,FBgn0034643
CG10348,FBgn0032707
CG10366,FBgn0032814
CG10431,FBgn0032730
CG10462,FBgn0032815
CG10543,FBgn0034570
CG10565,FBgn0037051
CG10631,FBgn0032817
CG10654,FBgn0036294
CG10669,FBgn0039329
CG10959,FBgn0030010
CG10979,FBgn0037379
CG11085,FBgn0030408
CG11247,FBgn0037120
CG11294,FBgn0030058
CG11398,FBgn0040366
CG11456,FBgn0037031
CG11617,FBgn0031232
CG11695,FBgn0030316
CG11696,FBgn0030314
CG11902,FBgn0028647
CG12054,FBgn0039831
CG12071,FBgn0039808
CG12104,FBgn0035238
CG12219,FBgn0043796
CG12299,FBgn0032295
CG1233,FBgn0035137
CG12391,FBgn0033581
CG12605,FBgn0035481
CG12645,FBgn0030181
CG12684,FBgn0029717
CG12744,FBgn0033459
CG12769,FBgn0033252
CG12942,FBgn0033569
CG13123,FBgn0032150
CG13287,FBgn0035643
CG13510,FBgn0034758
CG13511,FBgn0034759
CG13516,FBgn0040658
CG13559,FBgn0034870
CG13775,FBgn0031874
CG13894,FBgn0035157
CG14050,FBgn0040392
CG14135,FBgn0036193
CG14655,FBgn0037275
CG14667,FBgn0037317
CG14710,FBgn0037920
CG14711,FBgn0037922
CG14860,FBgn0038273
CG14965,FBgn0035414
CG15011,FBgn0035518
CG15073,FBgn0034379
CG15269,FBgn0028878
CG1529,FBgn0031144
CG15336,FBgn0030009
CG15436,FBgn0031610
CG15514,FBgn0039712
CG15696,FBgn0038833
CG15708,FBgn0034099
CG15715,FBgn0036538
CG15812,FBgn0035405
CG1602,FBgn0033186
CG1603,FBgn0033185
CG1647,FBgn0039602
CG1663,FBgn0033449
CG16779,FBgn0037698
CG16863,FBgn0028931
CG17328,FBgn0028895
CG17359,FBgn0036396
CG17361,FBgn0036395
CG17385,FBgn0033934
CG17568,FBgn0032763
CG17612,FBgn0031597
CG17801,FBgn0038550
CG17802,FBgn0038549
